code,local_code,name,iso_country
AZ-XAN,XAN,Xanlar District,AZ
AZ-XCI,XCI,Khojaly District,AZ
AZ-XIZ,XIZ,Khizi District,AZ
AZ-XVD,XVD,Xocavand District,AZ
AZ-YAR,YAR,Yardimli District,AZ
AZ-YE,YE,Yevlax (city),AZ
AZ-ZAN,ZAN,Zangilan District,AZ
AZ-ZAQ,ZAQ,Zaqatala District,AZ
AZ-ZAR,ZAR,Zardab District,AZ
BA-BIH,BIH,Federation of Bosnia and Herzegovina,BA
BA-SRP,SRP,Republika Srpska,BA
BB-01,1,Christ Church,BB
BB-02,2,Saint Andrew,BB
BB-03,3,Saint George,BB
BB-04,4,Saint James,BB
BB-05,5,Saint John,BB
BB-06,6,Saint Joseph,BB
BB-07,7,Saint Lucy,BB
BB-08,8,Saint Michael,BB
BB-09,9,Saint Peter,BB
BB-10,10,Saint Philip,BB
BB-11,11,Saint Thomas,BB
BD-1,1,Barisal Division,BD
BD-2,2,Chittagong Division,BD
BD-3,3,Dhaka Division,BD
BD-4,4,Khulna Division,BD
BD-5,5,Rajshahi Division,BD
BD-6,6,Sylhet Division,BD
BE-BRU,BRU,Brussels-Capital Region,BE
BE-VAN,VAN,Antwerp Province,BE
BE-VBR,VBR,Flemish Brabant Province,BE
BE-VLI,VLI,Limburg Province,BE
BE-VOV,VOV,East Flanders Province,BE
BE-VWV,VWV,West Flanders Province,BE
BE-WBR,WBR,Walloon Brabant Province,BE
BE-WHT,WHT,Hainaut Province,BE
BE-WLG,WLG,Liège Province,BE
BE-WLX,WLX,Luxembourg Province,BE
BE-WNA,WNA,Namur Province,BE
BF-BAL,BAL,Balé Province,BF
BF-BAM,BAM,Bam Province,BF
BF-BAN,BAN,Banwa Province,BF
BF-BAZ,BAZ,Bazèga Province,BF
BF-BGR,BGR,Bougouriba Province,BF
BF-BLG,BLG,Boulgou Province,BF
BF-BLK,BLK,Boulkiemdé Province,BF
BF-COM,COM,Comoe Province,BF
BF-GAN,GAN,Ganzourgou Province,BF
BF-GNA,GNA,Gnagna Province,BF
BF-GOU,GOU,Gourma Province,BF
BF-HOU,HOU,Houet Province,BF
BF-IOB,IOB,Ioba Province,BF
BF-KAD,KAD,Kadiogo Province,BF
BF-KEN,KEN,Kénédougou Province,BF
BF-KMD,KMD,Komondjari Province,BF
BF-KMP,KMP,Kompienga Province,BF
BF-KOP,KOP,Koulpélogo Province,BF
BF-KOS,KOS,Kossi Province,BF
BF-KOT,KOT,Kouritenga Province,BF
BF-KOW,KOW,Kourwéogo Province,BF
BF-LER,LER,Léraba Province,BF
BF-LOR,LOR,Loroum Province,BF
BF-MOU,MOU,Mouhoun Province,BF
BF-NAM,NAM,Namentenga Province,BF
BF-NAO,NAO,Nahouri Province,BF
BF-NAY,NAY,Nayala Province,BF
BF-NOU,NOU,Noumbiel Province,BF
BF-OUB,OUB,Oubritenga Province,BF
BF-OUD,OUD,Oudalan Province,BF
BF-PAS,PAS,Passoré Province,BF
BF-PON,PON,Poni Province,BF
BF-SEN,SEN,Séno Province,BF
BF-SIS,SIS,Sissili Province,BF
BF-SMT,SMT,Sanmatenga Province,BF
BF-SNG,SNG,Sanguié Province,BF
BF-SOM,SOM,Soum Province,BF
BF-SOR,SOR,Sourou Province,BF
BF-TAP,TAP,Tapoa Province,BF
BF-TUI,TUI,Tuy Province,BF
BF-YAG,YAG,Yagha Province,BF
BF-YAT,YAT,Yatenga Province,BF
BF-ZIR,ZIR,Ziro Province,BF
BF-ZON,ZON,Zondoma Province,BF
BF-ZOU,ZOU,Zoundwéogo Province,BF
BG-01,1,Blagoevgrad Province,BG
BG-02,2,Burgas Province,BG
BG-03,3,Varna Province,BG
BG-04,4,Veliko Tarnovo Province,BG
BG-05,5,Vidin Province,BG
BG-06,6,Vraca Province,BG
BG-07,7,Gabrovo Province,BG
BG-08,8,Dobric Province,BG
BG-09,9,Kardzali Province,BG
BG-10,10,Kyustendil Province,BG
BG-11,11,Lovec Province,BG
BG-12,12,Montana Province,BG
BG-13,13,Pazardzhik Province,BG
BG-14,14,Pernik Province,BG
BG-15,15,Pleven Province,BG
BG-16,16,Plovdiv Province,BG
BG-17,17,Razgrad Province,BG
BG-18,18,Ruse Province,BG
BG-19,19,Silistra Province,BG
BG-20,20,Sliven Province,BG
BG-21,21,Smoljan Province,BG
BG-23,23,Sofia Province,BG
BG-24,24,Stara Zagora Province,BG
BG-25,25,Targovishte Province,BG
BG-26,26,Haskovo Province,BG
BG-27,27,Sumen Province,BG
BG-28,28,Jambol Province,BG
BH-13,13,Capital Governorate,BH
BH-14,14,Southern Governorate,BH
BH-15,15,Muharraq Governorate,BH
BH-16,16,Central Governorate,BH
BH-17,17,Northern Governorate,BH
BI-BB,BB,Bubanza Province,BI
BI-BL,BL,Bujumbura Rural Province,BI
BI-BM,BM,Bujumbura Mairie Province,BI
BI-BR,BR,Bururi Province,BI
BI-CA,CA,Cankuzo Province,BI
BI-CI,CI,Cibitoke Province,BI
BI-GI,GI,Gitega Province,BI
BI-KI,KI,Kirundo Province,BI
BI-KR,KR,Karuzi Province,BI
BI-KY,KY,Kayanza Province,BI
BI-MA,MA,Makamba Province,BI
BI-MU,MU,Muramvya Province,BI
BI-MW,MW,Mwaro Province,BI
BI-MY,MY,Muyinga Province,BI
BI-NG,NG,Ngozi Province,BI
BI-RM,RM,Rumonge Province,BI
BI-RT,RT,Rutana Province,BI
BI-RY,RY,Ruyigi Province,BI
BJ-AK,AK,Atakora Department,BJ
BJ-AL,AL,Alibori Department,BJ
BJ-AQ,AQ,Atlantique Department,BJ
BJ-BO,BO,Borgou Department,BJ
BJ-CO,CO,Collines Department,BJ
BJ-DO,DO,Donga Department,BJ
BJ-KO,KO,Kouffo Department,BJ
BJ-LI,LI,Littoral Department,BJ
BJ-MO,MO,Mono Department,BJ
BJ-OU,OU,Oueme Department,BJ
BJ-PL,PL,Plateau Department,BJ
BJ-ZO,ZO,Zou Department,BJ
BN-BE,BE,Belait District,BN
BN-BM,BM,Brunei-Muara District,BN
BN-TE,TE,Temburong District,BN
BN-TU,TU,Tutong District,BN
BO-B,B,El Beni Department,BO
BO-C,C,Cochabamba Department,BO
BO-H,H,Chuquisaca Department,BO
BO-L,L,La Paz Department,BO
BO-N,N,Pando Department,BO
BO-O,O,Oruro Department,BO
BO-P,P,Potosí Department,BO
BO-S,S,Santa Cruz Department,BO
BO-T,T,Tarija Department,BO
BR-AC,AC,Acre,BR
BR-AL,AL,Alagoas,BR
BR-AM,AM,Amazonas,BR
BR-AP,AP,Amapá,BR
BR-BA,BA,Bahia,BR
BR-CE,CE,Ceará,BR
BR-DF,DF,Distrito Federal,BR
BR-ES,ES,Espírito Santo,BR
BR-GO,GO,Goiás,BR
BR-MA,MA,Maranhão,BR
BR-MG,MG,Minas Gerais,BR
BR-MS,MS,Mato Grosso do Sul,BR
BR-MT,MT,Mato Grosso,BR
BR-PA,PA,Pará,BR
BR-PB,PB,Paraíba,BR
BR-PE,PE,Pernambuco,BR
BR-PI,PI,Piauí,BR
BR-PR,PR,Paraná,BR
BR-RJ,RJ,Rio de Janeiro,BR
BR-RN,RN,Rio Grande do Norte,BR
BR-RO,RO,Rondônia,BR
BR-RR,RR,Roraima,BR
BR-RS,RS,Rio Grande do Sul,BR
BR-SC,SC,Santa Catarina,BR
BR-SE,SE,Sergipe,BR
BR-SP,SP,São Paulo,BR
BR-TO,TO,Tocatins,BR
BS-AK,AK,Acklins,BS
BS-BI,BI,Bimini,BS
BS-BP,BP,Black Point,BS
BS-BY,BY,Berry Islands,BS
BS-CE,CE,Central Eleuthera,BS
BS-CI,CI,Cat Island,BS
BS-CK,CK,Crooked Island and Long Cay,BS
BS-CO,CO,Central Abaco,BS
BS-CS,CS,Central Andros,BS
BS-EG,EG,East Grand Bahama,BS
BS-EX,EX,Exuma,BS
BS-FP,FP,City of Freeport,BS
BS-GC,GC,Grand Cay,BS
BS-HI,HI,Harbour Island,BS
BS-HT,HT,Hope Town,BS
BS-IN,IN,Inagua,BS
BS-LI,LI,Long Island,BS
BS-MC,MC,Mangrove Cay,BS
BS-MG,MG,Mayaguana,BS
BS-MI,MI,Moore's Island,BS
BS-NE,NE,North Eleuthera,BS
BS-NO,NO,North Abaco,BS
BS-NP,NP,New Providence,BS
BS-NS,NS,North Andros,BS
BS-RC,RC,Rum Cay,BS
BS-RI,RI,Ragged Island,BS
BS-SA,SA,South Andros,BS
BS-SE,SE,South Eleuthera,BS
BS-SO,SO,South Abaco,BS
BS-SS,SS,San Salvador,BS
BS-SW,SW,Spanish Wells,BS
BS-WG,WG,West Grand Bahama,BS
BT-11,11,Paro,BT
BT-12,12,Chhukha,BT
BT-13,13,Ha,BT
BT-14,14,Samtee,BT
BT-15,15,Thimphu,BT
BT-21,21,Tsirang,BT
BT-22,22,Dagana,BT
BT-23,23,Punakha,BT
BT-24,24,Wangdue Phodrang,BT
BT-31,31,Sarpang,BT
BT-32,32,Trongsa,BT
BT-33,33,Bumthang,BT
BT-34,34,Zhemgang,BT
BT-41,41,Trashigang,BT
BT-42,42,Monggar,BT
BT-43,43,Pemagatshel,BT
BT-44,44,Lhuentse,BT
BT-45,45,Samdrup Jongkha,BT
BT-GA,GA,Gasa,BT
BT-TY,TY,Trashi Yangtse,BT
BW-CE,CE,Central District,BW
BW-CH,CH,Chobe District,BW
BW-FR,FR,Francistown (city),BW
BW-GA,GA,Gabarone (city),BW
BW-GH,GH,Ghanzi District,BW
BW-JW,JW,Jwaneng (town),BW
BW-KG,KG,Kgalagadi District,BW
BW-KL,KL,Kgatleng District,BW
BW-KW,KW,Kweneng District,BW
BW-LO,LO,Lobatse (town),BW
BW-NE,NE,North East District,BW
BW-NW,NW,North West District,BW
BW-SE,SE,South East District,BW
BW-SO,SO,Southern District,BW
BW-SP,SP,Selebi-Phikwe (town),BW
BW-ST,ST,Sowa (town),BW
BY-BR,BR,Brest Region,BY
BY-HO,HO,Gomel Region,BY
BY-HR,HR,Grodno Region,BY
BY-MA,MA,Mogilev Region,BY
BY-MI,MI,Minsk Region,BY
BY-VI,VI,Vitebsk Region,BY
BZ-BZ,BZ,Belize District,BZ
BZ-CY,CY,Cayo District,BZ
BZ-CZL,CZL,Corozal District,BZ
BZ-OW,OW,Orange Walk District,BZ
BZ-SC,SC,Stann Creek District,BZ
BZ-TOL,TOL,Toledo District,BZ
CA-AB,AB,Alberta,CA
CA-BC,BC,British Columbia,CA
CA-MB,MB,Manitoba,CA
CA-NB,NB,New Brunswick,CA
CA-NL,NL,Newfoundland and Labrador,CA
CA-NS,NS,Nova Scotia,CA
CA-NT,NT,Northwest Territories,CA
CA-NU,NU,Nunavut,CA
CA-ON,ON,Ontario,CA
CA-PE,PE,Prince Edward Island,CA
CA-QC,QC,Quebec,CA
CA-SK,SK,Saskatchewan,CA
CA-YT,YT,Yukon,CA
CD-BC,BC,Bas-Congo Province,CD
CD-BN,BN,Bandundu Province,CD
CD-EQ,EQ,Equateur Province,CD
CD-HC,HC,Haut-Congo Province,CD
CD-KA,KA,Katanga Province,CD
CD-KE,KE,Kasai-Oriental Province,CD
CD-KN,KN,Kinshasa Province,CD
CD-KW,KW,Kasai-Occidental Province,CD
CD-MA,MA,Maniema Province,CD
CD-NK,NK,Nord-Kivu Province,CD
CD-OR,OR,Orientale Province,CD
CD-SK,SK,Sud-Kivu Province,CD
CF-AC,AC,Ouham,CF
CF-BB,BB,Bamingui-Bangoran,CF
CF-BGF,BGF,Bangui,CF
CF-BK,BK,Basse-Kotto,CF
CF-HK,HK,Haute-Kotto,CF
CF-HM,HM,Haut-Mbomou,CF
CF-HS,HS,Mambéré-Kadéï,CF
CF-KB,KB,Nana-Grébizi,CF
CF-KG,KG,Kémo,CF
CF-LB,LB,Lobaye,CF
CF-MB,MB,Mbomou,CF
CF-MP,MP,Ombella-M'Poko,CF
CF-NM,NM,Nana-Mambéré,CF
CF-OP,OP,Ouham-Pendé,CF
CF-SE,SE,Sangha-Mbaéré,CF
CF-UK,UK,Ouaka,CF
CF-VR,VR,Vakaga,CF
CG-11,11,Bouenza Department,CG
CG-12,12,Pool Department,CG
CG-13,13,Sangha Department,CG
CG-14,14,Plateaux Department,CG
CG-15,15,Cuvette-Ouest Department,CG
CG-2,2,Lékoumou Department,CG
CG-5,5,Kouilou Department,CG
CG-7,7,Likouala Department,CG
CG-8,8,Cuvette Department,CG
CG-9,9,Niari Department,CG
CG-BZV,BZV,Brazzaville Department,CG
CH-AG,AG,Canton of Aargau,CH
CH-AI,AI,Canton of Appenzell Innerrhoden,CH
CH-AR,AR,Canton of Appenzell Ausserrhoden,CH
CH-BE,BE,Canton of Berne,CH
CH-BL,BL,Canton of Basel-Country,CH
CH-BS,BS,Canton of Basel-City,CH
CH-FR,FR,Canton of Fribourg,CH
CH-GE,GE,Canton of Geneva,CH
CH-GL,GL,Canton of Glarus,CH
CH-GR,GR,Canton of Grisons,CH
CH-JU,JU,Canton of Jura,CH
CH-LU,LU,Canton of Lucerne,CH
CH-NE,NE,Canton of Neuchâtel,CH
CH-NW,NW,Canton of Nidwalden,CH
CH-OW,OW,Canton of Obwalden,CH
CH-SG,SG,Canton of St. Gallen,CH
CH-SH,SH,Canton of Schaffhausen,CH
CH-SO,SO,Canton of Solothurn,CH
CH-SZ,SZ,Canton of Schwyz,CH
CH-TG,TG,Canton of Thurgau,CH
CH-TI,TI,Canton of Ticino,CH
CH-UR,UR,Canton of Uri,CH
CH-VD,VD,Canton of Vaud,CH
CH-VS,VS,Canton of Valais,CH
CH-ZG,ZG,Canton of Zug,CH
CH-ZH,ZH,Canton of Zurich,CH
CI-AB,AB,Abidjan (autonomous district),CI
CI-BS,BS,Bas-Sassandra District,CI
CI-CM,CM,Comoé District,CI
CI-DN,DN,Denguélé District,CI
CI-GD,GD,Gôh-Djiboua District,CI
CI-LC,LC,Lacs District,CI
CI-LG,LG,Lagunes DIstrict,CI
CI-MG,MG,Montagnes District,CI
CI-SM,SM,Sassandra-Marahoué District,CI
CI-SV,SV,Savanes District,CI
CI-VB,VB,Vallée du Bandama District,CI
CI-WR,WR,Woroba District,CI
CI-YM,YM,Yamoussoukro (autonomous district),CI
CI-ZZ,ZZ,Zanzan District,CI
CL-AI,AI,Aysén Region,CL
CL-AN,AN,Antofagasta Region,CL
CL-AP,AP,Arica and Parinacota Region,CL
CL-AR,AR,Araucanía Region,CL
CL-AT,AT,Atacama Region,CL
CL-BI,BI,Bío-Bío Region,CL
CL-CO,CO,Coquimbo Region,CL
CL-LI,LI,O'Higgins Region,CL
CL-LL,LL,Los Lagos Region,CL
CL-LR,LR,Los Ríos Region,CL
CL-MA,MA,Magallanes Region,CL
CL-ML,ML,Maule Region,CL
CL-RM,RM,Santiago Metropolitan Region,CL
CL-TA,TA,Tarapacá Region,CL
CL-VS,VS,Valparaíso Region,CL
CM-AD,AD,Adamaoua Region,CM
CM-CE,CE,Centre Region,CM
CM-EN,EN,Far North Region,CM
CM-ES,ES,East Region,CM
CM-LT,LT,Littoral Region,CM
CM-NO,NO,North Region,CM
CM-NW,NW,North-West Region,CM
CM-OU,OU,West Region,CM
CM-SU,SU,South Region,CM
CM-SW,SW,South-West Region,CM
CN-11,11,Beijing Municipality,CN
CN-12,12,Tianjin Municipality,CN
CN-13,13,Hebei Province,CN
CN-14,14,Shanxi Province,CN
CN-15,15,Inner Mongolia Autonomous Region,CN
CN-21,21,Liaoning Province,CN
CN-22,22,Jilin Province,CN
CN-23,23,Heilongjiang Province,CN
CN-31,31,Shanghai Municipality,CN
CN-32,32,Jiangsu Province,CN
CN-33,33,Zhejiang Province,CN
CN-34,34,Anhui Province,CN
CN-35,35,Fujian Province,CN
CN-36,36,Jiangxi Province,CN
CN-37,37,Shandong Province,CN
CN-41,41,Henan Province,CN
CN-42,42,Hubei Province,CN
CN-43,43,Hunan Province,CN
CN-44,44,Guangdong Province,CN
CN-45,45,Guangxi Autonomous Region,CN
CN-46,46,Hainan Province,CN
CN-50,50,Chongqing Municipality,CN
CN-51,51,Sichuan Province,CN
CN-52,52,Guizhou Province,CN
CN-53,53,Yunnan Province,CN
CN-54,54,Tibet Autonomous Region,CN
CN-61,61,Shaanxi Province,CN
CN-62,62,Gansu Province,CN
CN-63,63,Qinghai Province,CN
CN-64,64,Ningxia Autonomous Region,CN
CN-65,65,Xinjiang Autonomous Region,CN
CN-71,71,Taiwan (disputed),CN
CN-91,91,Hong Kong Special Administrative Region,CN
CN-92,92,Macau Special Administrative Region,CN
CO-AMA,AMA,Amazonas Department,CO
CO-ANT,ANT,Antioquía Department,CO
CO-ARA,ARA,Arauca Department,CO
CO-ATL,ATL,Atlántico Department,CO
CO-BOL,BOL,Bolívar Department,CO
CO-BOY,BOY,Boyacá Department,CO
CO-CAL,CAL,Caldas Department,CO
CO-CAQ,CAQ,Caquetá Department,CO
CO-CAS,CAS,Casanare Department,CO
CO-CAU,CAU,Cauca Department,CO
CO-CES,CES,César Department,CO
CO-CHO,CHO,Chocó Department,CO
CO-COR,COR,Córdoba Department,CO
CO-CUN,CUN,Cundinamarca Department,CO
CO-DC,DC,Distrito Capital de Bogotá Department,CO
CO-GUA,GUA,Guainía Department,CO
CO-GUV,GUV,Guaviare Department,CO
CO-HUI,HUI,Huila Department,CO
CO-LAG,LAG,La Guajira Department,CO
CO-MAG,MAG,Magdalena Department,CO
CO-MET,MET,Meta Department,CO
CO-NAR,NAR,Nariño Department,CO
CO-NSA,NSA,Norte de Santander Department,CO
CO-PUT,PUT,Putumayo Department,CO
CO-QUI,QUI,Quindio Department,CO
CO-RIS,RIS,Risaralda Department,CO
CO-SAN,SAN,Santander Department,CO
CO-SAP,SAP,"San Andrés, Providencia y Santa Catalina Department",CO
CO-SUC,SUC,Sucre Department,CO
CO-TOL,TOL,Tolima Department,CO
CO-VAC,VAC,Valle del Cauca Department,CO
CO-VAU,VAU,Vaupés Department,CO
CO-VID,VID,Vichada Department,CO
CR-A,A,Alajuela,CR
CR-C,C,Cartago,CR
CR-G,G,Guanacaste,CR
CR-H,H,Heredia,CR
CR-L,L,Limon,CR
CR-P,P,Puntarenas,CR
CR-SJ,SJ,San Jose,CR
CU-01,1,Pinar del Río Province,CU
CU-03,3,La Habana Province,CU
CU-04,4,Matanzas Province,CU
CU-05,5,Villa Clara Province,CU
CU-06,6,Cienfuegos Province,CU
CU-07,7,Sancti Spíritus,CU
CU-08,8,Ciego de Ávila Province,CU
CU-09,9,Camagüey Province,CU
CU-10,10,Las Tunas Province,CU
CU-11,11,Holguín Province,CU
CU-12,12,Granma Province,CU
CU-13,13,Santiago de Cuba Province,CU
CU-14,14,Guantánamo Province,CU
CU-15,15,Artemisa Province,CU
CU-16,16,Mayabeque Province,CU
CU-99,99,Isla de la Juventud (special municipality),CU
CV-B,B,Barlavento Islands,CV
CV-S,S,Sotavento Islands,CV
CY-01,1,Kyrenia District,CY
CY-02,2,Nicosia District,CY
CY-03,3,Famagusta District,CY
CY-04,4,Larnarca District,CY
CY-05,5,Limassol District,CY
CY-06,6,Paphos District,CY
CY-XX,XX,Sovereign Base Areas of Akrotiri and Dhekelia,CY
CZ-JC,JC,South Bohemian Region,CZ
CZ-JM,JM,South Moravian Region,CZ
